Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap
2,22,20,0.909091,0.413223,1.81818,1,0.367181,0.403899
81,647,329,0.508501,0.129287,1.017,159,0.698172,1.373
7,116,104,0.896552,0.401902,1.7931,6,0.414442,0.462262
484,28834,15624,0.54186,0.146806,1.08372,6605,3.05985,5.64694
1907,115808,63996,0.552604,0.152686,1.10521,25906,2.68274,4.85472
57,1620,1488,0.918519,0.421838,1.83704,66,0.360739,0.39274
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273
432,15071,8105,0.537788,0.144608,1.07558,3483,1.92967,3.58817
3,59,55,0.932203,0.434502,1.86441,2,0.374921,0.402188
51,1179,827,0.701442,0.24601,1.40288,176,1.12341,1.60157
60,940,726,0.77234,0.298255,1.54468,107,0.599724,0.776502
2,7,5,0.714286,0.255102,1.42857,1,0.553655,0.775117
2,38,36,0.947368,0.448753,1.89474,1,0.314255,0.331714
134,3394,2502,0.737183,0.27172,1.47437,446,0.942653,1.27872
122,3290,2980,0.905775,0.410214,1.81155,155,0.361209,0.398785
52,1305,965,0.739464,0.273403,1.47893,170,1.04919,1.41886
46,1389,1275,0.917927,0.421295,1.83585,57,0.394249,0.429499
49,1124,1026,0.912811,0.416612,1.82562,49,0.327745,0.35905
2,5,3,0.6,0.18,1.2,1,0.642549,1.07091
799,46942,32594,0.694346,0.241058,1.38869,7174,1.92199,2.76806
2,38,36,0.947368,0.448753,1.89474,1,0.314255,0.331714
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068
2,5,3,0.6,0.18,1.2,1,0.642549,1.07091
158,3665,2847,0.776808,0.301715,1.55362,409,0.726282,0.934957
208,4612,3166,0.68647,0.235621,1.37294,723,0.948684,1.38197
73,1377,1147,0.83297,0.34692,1.66594,115,0.501821,0.602448
74,2139,1913,0.894343,0.399925,1.78869,113,0.45851,0.512678
2,58,56,0.965517,0.466112,1.93103,1,0.28235,0.292434
1026,95329,43403,0.455297,0.103648,0.910594,25963,5.08213,11.1622
2,11,9,0.818182,0.334711,1.63636,1,0.463314,0.566273
663,25474,12598,0.494543,0.122287,0.989087,6438,2.20385,4.45633
2,48,46,0.958333,0.459201,1.91667,1,0.295824,0.308686
94,1959,1539,0.785605,0.308588,1.57121,210,0.678575,0.863761
59,1028,868,0.844358,0.35647,1.68872,80,0.450115,0.533085
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557
330,9434,6706,0.710833,0.252642,1.42167,1364,1.0399,1.46293
102,1670,1382,0.827545,0.342415,1.65509,144,0.438031,0.529314
51,1633,1527,0.935089,0.437196,1.87018,53,0.323416,0.345866
5,178,170,0.955056,0.456066,1.91011,4,0.355105,0.371816
2,23,21,0.913043,0.416824,1.82609,1,0.362263,0.396765
52,1641,1493,0.909811,0.413878,1.81962,74,0.442585,0.486458
3,89,85,0.955056,0.456066,1.91011,2,0.341138,0.357192
152,3888,2506,0.644547,0.207721,1.28909,691,1.26637,1.96474
48,824,728,0.883495,0.390282,1.76699,48,0.342882,0.388097
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857
464,19572,12276,0.627223,0.196704,1.25445,3648,1.83194,2.92072
49,1256,1160,0.923567,0.426488,1.84713,48,0.316065,0.342222
697,40812,21780,0.533667,0.1424,1.06733,9516,2.96105,5.5485
2,20,18,0.9,0.405,1.8,1,0.378152,0.420169
529,19373,12849,0.663243,0.219945,1.32649,3262,1.43831,2.1686
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627
5,73,63,0.863014,0.372396,1.72603,5,0.534979,0.619896
56,1547,1429,0.923723,0.426632,1.84745,59,0.330297,0.357571
89,1926,1306,0.678089,0.229903,1.35618,310,1.06036,1.56374
2,40,38,0.95,0.45125,1.9,1,0.310023,0.32634
3,17,13,0.764706,0.292388,1.52941,2,0.531093,0.694506
100,2021,1613,0.79812,0.318498,1.59624,204,0.617101,0.773193
