Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap,Cut size,Cluster 1 size,Cluster 2 size
472,15891,9189,0.578252,0.167188,1.1565,3351,1.6899,2.92243,1,1,1
63,1885,1743,0.924668,0.427506,1.84934,71,0.34406,0.372091,1,239,5
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,145,4
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471,1,2,1
2,48,46,0.958333,0.459201,1.91667,1,0.295824,0.308686,1,21,23
3,78,74,0.948718,0.450033,1.89744,2,0.351316,0.370306,1,1,1
855,45073,26861,0.595944,0.177575,1.19189,9106,2.28845,3.84005,1,56,12
300,12212,8160,0.668195,0.223242,1.33639,2026,1.65247,2.47303,1,4,2
3,14,10,0.714286,0.255102,1.42857,2,0.566849,0.793589,1,4,2
51,1494,1364,0.912985,0.416771,1.82597,65,0.401466,0.439729,1,23,22
54,1665,1513,0.908709,0.412876,1.81742,76,0.436856,0.480743,1,2,3
2,29,27,0.931034,0.433413,1.86207,1,0.338496,0.36357,1,33,19
202,5166,3982,0.770809,0.297073,1.54162,592,0.789255,1.02393,1,1,1
138,3164,2440,0.771176,0.297356,1.54235,362,0.749402,0.971766,1,36,21
2,29,27,0.931034,0.433413,1.86207,1,0.338496,0.36357,1,34,15
2,17,15,0.882353,0.389273,1.76471,1,0.39832,0.451429,1,22,20
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,158,6
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471,1,6,89
2,42,40,0.952381,0.453515,1.90476,1,0.306097,0.321402,1,220,3
3,89,85,0.955056,0.456066,1.91011,2,0.341138,0.357192,1,2,1
93,2110,1784,0.845498,0.357433,1.691,163,0.527205,0.623545,1,46,10
40,761,665,0.87385,0.381807,1.7477,48,0.416384,0.476494,1,1,1
2,20,18,0.9,0.405,1.8,1,0.378152,0.420169,1,93,6
8,115,101,0.878261,0.385671,1.75652,7,0.42384,0.48259,1,1,1
6,127,115,0.905512,0.409976,1.81102,6,0.474561,0.524081,1,88,3
83,1736,1442,0.830645,0.344986,1.66129,147,0.546665,0.658121,1,1,1
114,4224,3888,0.920455,0.423618,1.84091,168,0.406441,0.441565,1,811,1
2,15,13,0.866667,0.375556,1.73333,1,0.415241,0.479124,1,25,20
56,1542,1430,0.927367,0.430005,1.85473,56,0.31364,0.338205,1,2,1
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634,1,1,1
1151,79040,35892,0.454099,0.103103,0.908198,21574,3.82692,8.4275,1,2,1
2,54,52,0.962963,0.463649,1.92593,1,0.287296,0.298346,1,92,2
143,2649,2075,0.783314,0.306791,1.56663,287,0.586284,0.748465,1,2,1
2,24,22,0.916667,0.420139,1.83333,1,0.357669,0.390185,1,119,4
1747,141190,55906,0.395963,0.0783933,0.791926,42642,4.73973,11.9701,2,199,3
249,6896,5014,0.727088,0.264329,1.45418,941,0.984488,1.35402,1,2842,1
50,813,707,0.869619,0.378118,1.73924,53,0.364183,0.418785,1,2,1
3,126,122,0.968254,0.468758,1.93651,2,0.316886,0.327276,1,1,1
3,97,91,0.938144,0.440057,1.87629,3,0.502203,0.535315,2,1,1
2,53,51,0.962264,0.462976,1.92453,1,0.288618,0.299936,1,27,25
1590,87099,47923,0.550213,0.151367,1.10043,19588,2.49382,4.53246,2,1,1
52,1511,1405,0.929848,0.432308,1.8597,53,0.320558,0.344742,1,584,1
44,1142,1006,0.880911,0.388002,1.76182,68,0.505373,0.573694,1,1,1
703,42332,22248,0.52556,0.138107,1.05112,10042,3.08742,5.87453,1,1104,1
3,14,8,0.571429,0.163265,1.14286,3,0.850274,1.48798,2,1200,1
61,2172,1598,0.735727,0.270647,1.47145,287,1.4099,1.91633,1,139,3
27,665,603,0.906767,0.411113,1.81353,31,0.406644,0.448455,1,596,1
2,30,28,0.933333,0.435556,1.86667,1,0.335264,0.359212,1,1,1
47,1489,1389,0.932841,0.435096,1.86568,50,0.335256,0.359393,1,1,1
57,1061,863,0.813384,0.330796,1.62677,99,0.573949,0.705632,1,1,1
53,1009,875,0.867195,0.376014,1.73439,67,0.420778,0.485217,1,13,6
31,442,374,0.846154,0.357988,1.69231,34,0.414439,0.489792,1,155,5
252,13719,8867,0.64633,0.208871,1.29266,2426,2.32685,3.60009,1,612,1
731,32637,21209,0.649845,0.211149,1.29969,5714,1.73176,2.66488,1,79,12
52,1090,836,0.766972,0.294123,1.53394,127,0.803966,1.04823,1,126,6
60,858,732,0.853147,0.36393,1.70629,63,0.357874,0.419475,1,2,1
45,872,766,0.87844,0.385829,1.75688,53,0.400467,0.455884,1,1,1
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627,1,1,1
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471,1,28,30
3,15,11,0.733333,0.268889,1.46667,2,0.553655,0.754984,1,41,10
248,7201,5513,0.765588,0.293063,1.53118,844,0.882247,1.15238,1,2,1
48,1076,946,0.879182,0.386481,1.75836,65,0.446593,0.507964,1,384,2
2,34,32,0.941176,0.442907,1.88235,1,0.32382,0.344059,1,399,3
6,137,127,0.927007,0.429671,1.85401,5,0.38943,0.420094,1,382,2
98,2650,1748,0.659623,0.217551,1.31925,451,1.34429,2.03796,1,225,2
2,18,16,0.888889,0.395062,1.77778,1,0.391006,0.439881,1,1,1
4,112,106,0.946429,0.447864,1.89286,3,0.365305,0.385983,1,1,1
152,4947,3809,0.769962,0.29642,1.53992,569,1.01326,1.31599,1,553,1
714,35863,19131,0.533447,0.142283,1.06689,8366,2.57255,4.82251,1,1,1
250,6325,4813,0.760949,0.289521,1.5219,756,0.795553,1.04548,1,1,1
1390,51933,27381,0.527237,0.138989,1.05447,12276,1.87292,3.55233,2,44,6
70,879,661,0.751991,0.282745,1.50398,109,0.528834,0.703245,1,328,2
3,9,3,0.333333,0.0555556,0.666667,3,1.0,3.0,2,1,1
